state_code,state_name,region,nationality,year,enrolments,state_total,rank_in_state,share_of_state
SA,South Australia,Americas,Colombia,2025,2114,57327,6,0.03687616655328205
SA,South Australia,Southern and Central Asia,Bangladesh,2025,1869,57327,7,0.03260243864147784
SA,South Australia,Southern and Central Asia,Sri Lanka,2025,1557,57327,8,0.02715997697420064
SA,South Australia,North-East Asia,Hong Kong SAR,2025,1463,57327,9,0.025520260959059432
SA,South Australia,Sub-Saharan Africa,Kenya,2025,1368,57327,10,0.023863101156523105
SA,South Australia,Americas,Brazil,2025,1366,57327,11,0.023828213581732864
SA,South Australia,Southern and Central Asia,Pakistan,2025,1096,57327,12,0.019118390985050675
SA,South Australia,South-East Asia,Malaysia,2025,762,57327,13,0.013292165995080853
SA,South Australia,North-East Asia,Japan,2025,737,57327,14,0.01285607131020287
SA,South Australia,North-East Asia,Taiwan,2025,736,57327,15,0.012838627522807752
SA,South Australia,South-East Asia,Thailand,2025,709,57327,16,0.012367645263139533
SA,South Australia,South-East Asia,Indonesia,2025,639,57327,17,0.011146580145481188
SA,South Australia,North-East Asia,"Korea, Republic of (South)",2025,564,57327,18,0.009838296090847245
SA,South Australia,South-East Asia,Singapore,2025,536,57327,19,0.009349870043783907
SA,South Australia,South-East Asia,Cambodia,2025,372,57327,20,0.006489088910984353
TAS,Tasmania,Southern and Central Asia,Nepal,2025,1733,9427,1,0.18383366924790495
TAS,Tasmania,Southern and Central Asia,India,2025,1457,9427,2,0.15455606237403205
TAS,Tasmania,North-East Asia,China,2025,912,9427,3,0.09674339662671051
TAS,Tasmania,Southern and Central Asia,Pakistan,2025,769,9427,4,0.08157420176089955
TAS,Tasmania,Southern and Central Asia,Bangladesh,2025,716,9427,5,0.07595205261482975
TAS,Tasmania,South-East Asia,Vietnam,2025,386,9427,6,0.040946218309112124
TAS,Tasmania,Southern and Central Asia,Sri Lanka,2025,372,9427,7,0.0394611223082635
TAS,Tasmania,South-East Asia,Philippines,2025,339,9427,8,0.03596053887769174
TAS,Tasmania,Americas,Colombia,2025,313,9427,9,0.03320250344754429
TAS,Tasmania,North-East Asia,Taiwan,2025,190,9427,10,0.020154874297231357
TAS,Tasmania,North-East Asia,Hong Kong SAR,2025,161,9427,11,0.0170786040097592
TAS,Tasmania,Americas,Brazil,2025,160,9427,12,0.016972525723984302
TAS,Tasmania,South-East Asia,Malaysia,2025,138,9427,13,0.01463880343693646
TAS,Tasmania,Sub-Saharan Africa,Kenya,2025,122,9427,14,0.01294155086453803
